Area & Sub-group,Product,Product Price,Order Time,Length (cm),Width (cm),Height (cm),Weight (kg)
Makati B,Product-40,353.23,2024-10-26 07:20:13.015289,37.05,22.14,31.88,3.3
Taguig C,Product-28,139.67,2024-10-21 07:20:13.015313,10.15,34.46,44.5,5.74
Makati B,Product-29,455.24,2024-10-30 07:20:13.015324,20.25,25.41,23.72,1.4
Quezon City B,Product-43,201.96,2024-10-13 07:20:13.015335,11.87,46.53,8.02,8.4
Makati B,Product-7,397.84,2024-11-01 07:20:13.015349,41.53,30.04,31.39,5.84
Quezon City C,Product-8,264.32,2024-10-16 07:20:13.015369,34.94,38.76,44.06,7.35
Quezon City C,Product-20,240.66,2024-10-25 07:20:13.015380,27.83,11.96,26.7,8.55
Quezon City C,Product-24,145.95,2024-11-04 07:20:13.015392,30.83,41.32,43.03,9.76
Taguig C,Product-44,357.08,2024-11-12 07:20:13.015417,32.4,34.6,36.21,0.78
Quezon City C,Product-49,223.59,2024-11-02 07:20:13.015435,20.8,13.16,11.45,6.74
Makati A,Product-48,353.27,2024-11-12 07:20:13.015445,9.13,28.87,21.93,4.81
Makati B,Product-20,388.64,2024-10-19 07:20:13.015455,47.36,31.83,44.75,1.98
Taguig A,Product-44,132.63,2024-10-29 07:20:13.015470,34.79,26.85,24.89,3.1
Taguig A,Product-23,271.97,2024-11-03 07:20:13.015484,35.52,31.69,28.71,3.43
Makati B,Product-39,121.91,2024-11-06 07:20:13.015498,18.56,14.51,11.18,2.93
Quezon City A,Product-1,298.95,2024-10-30 07:20:13.015511,12.91,22.11,36.67,5.25
Taguig B,Product-5,258.83,2024-10-20 07:20:13.015527,6.9,5.84,46.45,8.69
Taguig B,Product-37,261.77,2024-10-23 07:20:13.015537,23.8,10.18,5.94,3.59
Taguig B,Product-45,467.91,2024-11-10 07:20:13.015556,24.65,9.76,24.61,4.3
Makati B,Product-20,398.32,2024-11-05 07:20:13.015571,19.99,12.57,27.97,1.58
Taguig A,Product-50,239.75,2024-10-20 07:20:13.015585,48.12,34.04,11.65,1.48
Quezon City A,Product-12,340.96,2024-10-19 07:20:13.015594,39.16,8.39,47.81,6.47
Quezon City C,Product-49,331.79,2024-10-22 07:20:13.015609,46.59,30.4,33.59,6.43
Taguig B,Product-10,275.91,2024-10-28 07:20:13.015623,24.9,18.63,17.36,1.03
Taguig A,Product-20,284.7,2024-11-11 07:20:13.015635,7.56,42.43,8.45,8.71
Makati C,Product-39,302.83,2024-10-29 07:20:13.015646,31.11,47.94,38.25,0.89
Taguig C,Product-13,228.61,2024-10-28 07:20:13.015655,27.56,48.1,25.27,8.2
Quezon City C,Product-6,301.82,2024-11-07 07:20:13.015665,6.76,36.84,49.59,5.48
Taguig A,Product-24,249.14,2024-11-03 07:20:13.015675,22.43,39.85,35.55,1.0
Taguig C,Product-22,126.36,2024-11-09 07:20:13.015685,30.11,22.4,16.34,8.59
Taguig A,Product-22,132.6,2024-10-22 07:20:13.015694,11.36,20.74,48.55,7.14
Quezon City A,Product-39,383.53,2024-11-10 07:20:13.015703,18.93,21.95,40.62,8.23
Taguig C,Product-48,498.87,2024-10-14 07:20:13.015715,28.69,34.07,24.05,3.94
Quezon City B,Product-12,480.47,2024-11-02 07:20:13.015731,47.65,26.88,15.19,1.81
Makati B,Product-7,303.08,2024-10-26 07:20:13.015741,42.58,44.77,6.7,3.7
Taguig A,Product-39,250.69,2024-11-07 07:20:13.015752,13.14,36.18,33.11,9.08
Taguig B,Product-3,264.34,2024-10-22 07:20:13.015766,37.38,48.63,32.48,7.65
Quezon City A,Product-35,195.67,2024-10-13 07:20:13.015779,41.39,26.11,42.58,3.99
Taguig B,Product-30,407.78,2024-10-19 07:20:13.015787,22.18,28.74,48.48,8.26
Taguig A,Product-17,120.87,2024-10-28 07:20:13.015796,44.34,29.95,9.62,8.54
Makati B,Product-6,405.25,2024-11-04 07:20:13.015804,25.22,28.1,42.4,1.37
Makati B,Product-23,472.19,2024-10-30 07:20:13.015816,7.4,27.59,15.61,9.95
Quezon City A,Product-2,227.47,2024-11-09 07:20:13.015830,42.76,34.25,40.61,1.81
Quezon City B,Product-45,432.44,2024-10-19 07:20:13.015840,36.75,25.19,5.24,1.25
Quezon City A,Product-10,319.52,2024-10-20 07:20:13.015847,32.4,24.05,39.93,2.76
Makati A,Product-16,267.93,2024-10-18 07:20:13.015855,33.03,7.83,42.65,5.25
Taguig A,Product-41,306.15,2024-11-05 07:20:13.015863,37.33,18.11,5.07,3.85
Taguig B,Product-12,365.75,2024-11-10 07:20:13.015872,28.56,21.23,47.9,5.67
Taguig C,Product-2,256.18,2024-10-28 07:20:13.015881,6.96,22.41,21.8,7.6
Quezon City A,Product-23,196.45,2024-10-22 07:20:13.015890,33.27,39.72,38.08,3.66
Makati B,Product-35,235.42,2024-10-23 07:20:13.015902,12.88,40.06,25.91,7.11
Taguig A,Product-9,125.24,2024-10-19 07:20:13.015915,47.46,6.66,14.07,8.02
Makati B,Product-20,306.15,2024-10-17 07:20:13.015927,29.44,16.4,38.9,2.32
Quezon City A,Product-42,232.77,2024-11-09 07:20:13.015936,40.97,24.66,23.0,4.68
Quezon City B,Product-12,298.48,2024-10-28 07:20:13.015945,21.53,40.88,17.0,1.28
Quezon City A,Product-28,340.98,2024-10-17 07:20:13.015953,13.12,18.22,9.62,3.62
Quezon City B,Product-29,341.05,2024-10-30 07:20:13.015961,12.5,24.98,25.12,7.4
Quezon City C,Product-28,209.82,2024-10-18 07:20:13.015969,47.66,8.38,33.69,3.95
Taguig C,Product-11,481.12,2024-11-08 07:20:13.015977,43.19,35.51,24.72,1.7
Makati C,Product-24,244.86,2024-10-13 07:20:13.015986,30.53,32.23,35.56,9.51
Quezon City B,Product-49,130.75,2024-11-08 07:20:13.015999,28.83,22.91,34.23,2.87
Makati A,Product-48,174.42,2024-10-27 07:20:13.016012,22.41,30.28,16.78,2.97
Quezon City A,Product-40,214.23,2024-10-14 07:20:13.016025,49.94,14.01,11.11,1.2
Makati C,Product-29,498.9,2024-10-18 07:20:13.016033,35.69,43.05,19.38,3.8
Makati C,Product-35,216.14,2024-11-03 07:20:13.016041,43.31,37.03,46.73,6.56
Quezon City C,Product-15,148.54,2024-11-06 07:20:13.016049,40.64,15.65,27.23,3.93
Taguig B,Product-30,421.46,2024-10-26 07:20:13.016057,10.84,44.79,7.96,4.28
Taguig C,Product-31,310.28,2024-10-19 07:20:13.016066,23.42,30.87,10.64,3.51
Makati B,Product-30,372.04,2024-11-01 07:20:13.016074,10.78,42.31,29.81,6.08
Makati B,Product-33,464.28,2024-11-11 07:20:13.016082,42.41,28.31,18.69,2.04
Taguig A,Product-23,478.99,2024-10-27 07:20:13.016089,45.27,43.07,16.28,6.53
Taguig B,Product-9,350.01,2024-10-24 07:20:13.016098,29.01,27.62,12.59,9.45
Makati A,Product-43,349.79,2024-10-15 07:20:13.016109,32.23,42.91,30.36,8.34
Makati A,Product-3,479.42,2024-10-19 07:20:13.016123,30.95,34.3,39.51,4.46
Taguig A,Product-32,455.6,2024-10-26 07:20:13.016136,18.04,48.05,26.73,8.14
Taguig B,Product-20,281.42,2024-10-21 07:20:13.016149,7.7,24.78,26.79,2.44
Taguig A,Product-21,444.59,2024-11-02 07:20:13.016163,38.04,43.73,48.89,1.74
Quezon City C,Product-36,142.47,2024-11-05 07:20:13.016177,25.99,17.04,16.16,1.42
Quezon City B,Product-40,267.25,2024-10-13 07:20:13.016190,43.94,12.19,19.73,5.99
Quezon City A,Product-49,163.74,2024-10-27 07:20:13.016203,26.01,44.56,27.38,1.36
Quezon City C,Product-30,486.67,2024-11-06 07:20:13.016211,31.25,7.19,17.66,6.18
Taguig C,Product-31,214.3,2024-11-12 07:20:13.016219,43.12,24.39,44.71,7.41
Quezon City B,Product-3,260.23,2024-10-25 07:20:13.016233,30.28,21.31,17.99,4.17
Quezon City C,Product-18,430.12,2024-10-24 07:20:13.016246,35.62,10.35,48.88,4.24
Quezon City C,Product-24,401.99,2024-11-06 07:20:13.016259,32.11,23.06,6.81,0.87
Taguig B,Product-31,307.73,2024-11-08 07:20:13.016268,32.28,28.2,19.76,6.32
Makati B,Product-40,395.73,2024-11-03 07:20:13.016276,31.72,27.83,27.94,5.15
Taguig B,Product-31,426.3,2024-11-01 07:20:13.016286,19.91,9.93,23.74,3.42
Taguig C,Product-41,110.66,2024-10-28 07:20:13.016299,16.95,34.5,48.74,6.0
Makati C,Product-4,333.41,2024-11-07 07:20:13.016314,28.59,37.45,39.86,4.11
